Unnamed: 0,addr,역명,지하철 거리,addr.1,학교명,학교 거리,addr.2,기관명,병원 거리,면적당금액
3926,강남구 역삼동 736-22,역삼,257.4640469155249,강남구 역삼동 736-22,서울역삼초등학교,695.7343622729015,강남구 역삼동 736-22,엔슬림의원,63.24464999950175,696.5174129
3927,강남구 역삼동 836-29,강남,731.4670920658868,강남구 역삼동 836-29,서울역삼초등학교,79.35847638564839,강남구 역삼동 836-29,정원한의원,77.81527812940163,1108.252523
3928,강남구 역삼동 778-13,한티,822.9701971575204,강남구 역삼동 778-13,도곡중학교,383.5310527428433,강남구 역삼동 778-13,엔젤미치과의원,173.6153824506604,2004.677581
3929,강남구 역삼동 697-0,선릉,405.6057924382262,강남구 역삼동 697-0,진선여자중학교,648.8450670817568,강남구 역삼동 697-0,조은희정신건강의학과의원,106.76631177416952,1437.587658
3930,강남구 역삼동 774-42,한티,752.1924841418457,강남구 역삼동 774-42,역삼중학교,381.0831870296544,강남구 역삼동 774-42,아미치과의원,68.77022626499645,2043.539326
3931,강남구 역삼동 825-20,강남,125.86647652152756,강남구 역삼동 825-20,서울서초초등학교,410.8609732635056,강남구 역삼동 825-20,강남미래영상의학과의원,6.307773007091647,1340.918326
3932,강남구 역삼동 769-1,역삼,608.8585639093212,강남구 역삼동 769-1,도곡중학교,589.0568128271583,강남구 역삼동 769-1,세연내과의원,18.963502141977724,690.3594771
3933,강남구 역삼동 794-14,역삼,864.251806751222,강남구 역삼동 794-14,서울역삼초등학교,353.8417247614502,강남구 역삼동 794-14,역삼한의원,142.57225503446773,1096.09061
3934,강남구 역삼동 777-14,역삼,743.1155991751492,강남구 역삼동 777-14,도곡중학교,441.3047790770631,강남구 역삼동 777-14,스마트페이스한의원,144.00376524520854,1009.114583
3935,강남구 역삼동 708-20,선릉,127.54707558932814,강남구 역삼동 708-20,진선여자중학교,166.98167344375298,강남구 역삼동 708-20,고운얼굴치과의원,65.61325425983759,689.7711978
